Id,Bound
0,0
1,1
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,1
19,0
20,0
21,1
22,1
23,0
24,0
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,1
41,1
42,0
43,0
44,0
45,1
46,0
47,1
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,1
64,1
65,1
66,0
67,1
68,0
69,1
70,1
71,1
72,1
73,0
74,0
75,0
76,0
77,0
78,1
79,0
80,1
81,0
82,0
83,1
84,0
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,0
93,0
94,1
95,1
96,0
97,0
98,0
99,0
100,0
101,0
102,1
103,1
104,0
105,1
106,1
107,0
108,1
109,1
110,0
111,1
112,0
113,1
114,0
115,0
116,0
117,1
118,0
119,0
120,1
121,1
122,0
123,1
124,0
125,1
126,1
127,0
128,0
129,1
130,0
131,0
132,0
133,1
134,0
135,0
136,1
137,1
138,1
139,0
140,0
141,0
142,1
143,1
144,0
145,0
146,1
147,0
148,1
149,1
150,1
151,1
152,0
153,1
154,0
155,1
156,0
157,1
158,1
159,1
160,0
161,1
162,0
163,0
164,0
165,1
166,1
167,1
168,0
169,0
170,0
171,1
172,0
173,0
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,1
182,0
183,1
184,0
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,0
193,0
194,0
195,0
196,0
197,1
198,0
199,1
200,1
201,1
202,1
203,1
204,0
205,1
206,0
207,0
208,0
209,1
210,0
211,0
212,0
213,0
214,1
215,1
216,1
217,0
218,0
219,0
220,0
221,1
222,0
223,0
224,0
225,1
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,1
235,0
236,1
237,0
238,1
239,0
240,0
241,0
242,1
243,1
244,0
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,0
255,0
256,1
257,0
258,1
259,0
260,0
261,0
262,0
263,1
264,0
265,0
266,0
267,1
268,0
269,1
270,0
271,0
272,0
273,0
274,0
275,1
276,1
277,1
278,1
279,1
280,0
281,1
282,1
283,0
284,0
285,1
286,1
287,0
288,1
289,0
290,1
291,0
292,1
293,0
294,1
295,0
296,0
297,1
298,0
299,1
300,1
301,0
302,0
303,1
304,1
305,1
306,0
307,1
308,1
309,0
310,0
311,1
312,0
313,0
314,1
315,1
316,0
317,0
318,0
319,0
320,0
321,0
322,1
323,0
324,0
325,1
326,0
327,0
328,1
329,0
330,0
331,1
332,0
333,0
334,0
335,0
336,1
337,0
338,1
339,0
340,1
341,0
342,0
343,1
344,1
345,0
346,1
347,0
348,1
349,1
350,0
351,0
352,0
353,1
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,1
362,0
363,0
364,0
365,1
366,1
367,1
368,0
369,1
370,1
371,0
372,0
373,0
374,1
375,0
376,0
377,0
378,0
379,0
380,1
381,0
382,0
383,1
384,1
385,0
386,0
387,0
388,1
389,0
390,1
391,1
392,0
393,1
394,1
395,0
396,0
397,1
398,1
399,1
400,0
401,0
402,0
403,0
404,1
405,0
406,1
407,1
408,1
409,1
410,0
411,1
412,1
413,1
414,1
415,1
416,0
417,1
418,1
419,0
420,1
421,1
422,1
423,0
424,1
425,0
426,0
427,0
428,0
429,1
430,0
431,1
432,0
433,1
434,1
435,1
436,0
437,0
438,1
439,0
440,1
441,0
442,1
443,1
444,0
445,0
446,0
447,1
448,0
449,0
450,0
451,1
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,1
461,0
462,1
463,0
464,1
465,0
466,1
467,1
468,0
469,1
470,0
471,1
472,1
473,0
474,1
475,1
476,1
477,0
478,0
479,0
480,0
481,1
482,1
483,0
484,0
485,0
486,0
487,0
488,0
489,1
490,1
491,0
492,1
493,0
494,1
495,0
496,1
497,0
498,0
499,0
500,0
501,1
502,0
503,1
504,0
505,0
506,0
507,0
508,0
509,1
510,0
511,1
512,0
513,0
514,0
515,1
516,1
517,0
518,0
519,1
520,1
521,1
522,0
523,1
524,0
525,1
526,1
527,1
528,1
529,0
530,0
531,0
532,0
533,0
534,0
535,1
536,1
537,1
538,1
539,1
540,0
541,1
542,0
543,0
544,1
545,0
546,1
547,1
548,0
549,0
550,1
551,0
552,1
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,1
565,1
566,0
567,1
568,1
569,1
570,0
571,0
572,0
573,0
574,0
575,0
576,1
577,0
578,0
579,0
580,0
581,0
582,0
583,1
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,1
592,1
593,1
594,1
595,1
596,1
597,0
598,0
599,1
600,0
601,0
602,1
603,1
604,1
605,0
606,0
607,1
608,1
609,1
610,1
611,0
612,0
613,0
614,1
615,1
616,0
617,0
618,1
619,1
620,1
621,1
622,0
623,0
624,1
625,0
626,0
627,1
628,0
629,0
630,0
631,0
632,0
633,0
634,1
635,0
636,1
637,0
638,0
639,0
640,0
641,1
642,0
643,1
644,0
645,0
646,0
647,0
648,1
649,1
650,1
651,0
652,0
653,0
654,0
655,1
656,0
657,1
658,0
659,0
660,1
661,1
662,0
663,1
664,0
665,1
666,1
667,1
668,1
669,0
670,0
671,0
672,0
673,1
674,0
675,1
676,0
677,0
678,0
679,0
680,1
681,0
682,0
683,0
684,0
685,1
686,0
687,0
688,1
689,0
690,0
691,1
692,1
693,0
694,1
695,1
696,1
697,0
698,1
699,1
700,0
701,1
702,1
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,1
711,1
712,1
713,0
714,1
715,1
716,0
717,0
718,0
719,1
720,0
721,0
722,0
723,0
724,1
725,1
726,1
727,1
728,0
729,1
730,1
731,1
732,1
733,0
734,1
735,0
736,0
737,1
738,0
739,1
740,0
741,1
742,0
743,0
744,1
745,1
746,1
747,1
748,0
749,0
750,0
751,0
752,0
753,0
754,1
755,0
756,1
757,1
758,0
759,0
760,0
761,1
762,0
763,1
764,0
765,0
766,1
767,1
768,0
769,1
770,1
771,0
772,0
773,0
774,0
775,1
776,0
777,1
778,1
779,0
780,0
781,1
782,0
783,1
784,0
785,0
786,1
787,1
788,0
789,1
790,1
791,1
792,1
793,0
794,0
795,1
796,0
797,0
798,1
799,0
800,1
801,1
802,1
803,0
804,0
805,0
806,1
807,0
808,1
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,1
818,1
819,0
820,0
821,0
822,0
823,1
824,0
825,1
826,0
827,0
828,0
829,1
830,1
831,1
832,1
833,1
834,1
835,0
836,1
837,1
838,1
839,1
840,1
841,1
842,0
843,1
844,0
845,0
846,0
847,0
848,1
849,0
850,0
851,0
852,0
853,1
854,1
855,1
856,1
857,1
858,0
859,1
860,1
861,0
862,1
863,0
864,0
865,0
866,0
867,1
868,1
869,0
870,1
871,0
872,0
873,0
874,0
875,1
876,0
877,0
878,0
879,1
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,1
888,0
889,1
890,0
891,0
892,0
893,1
894,0
895,0
896,0
897,0
898,1
899,0
900,0
901,0
902,1
903,1
904,1
905,0
906,0
907,1
908,0
909,0
910,0
911,0
912,0
913,0
914,1
915,1
916,1
917,1
918,1
919,0
920,1
921,1
922,1
923,1
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,1
932,0
933,1
934,0
935,1
936,0
937,1
938,1
939,1
940,1
941,0
942,0
943,0
944,1
945,0
946,0
947,1
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,1
956,1
957,1
958,1
959,0
960,1
961,0
962,1
963,1
964,0
965,1
966,1
967,0
968,0
969,1
970,1
971,0
972,1
973,0
974,1
975,0
976,0
977,1
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,1
991,0
992,1
993,1
994,0
995,1
996,1
997,1
998,1
999,1
1000,1
1001,0
1002,0
1003,1
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,1
1011,0
1012,1
1013,0
1014,1
1015,1
1016,0
1017,0
1018,1
1019,0
1020,0
1021,0
1022,0
1023,0
1024,1
1025,1
1026,1
1027,1
1028,1
1029,0
1030,0
1031,0
1032,1
1033,0
1034,0
1035,1
1036,0
1037,0
1038,1
1039,1
1040,0
1041,1
1042,0
1043,1
1044,0
1045,0
1046,1
1047,0
1048,1
1049,1
1050,1
1051,1
1052,1
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,1
1060,1
